times,EcellV,ImA,EnergyChargeWh,QChargemAh,EnergyDischargeWh,QDischargemAh,TemperatureC,cycleNumber,Ns
138555.795189312,3.7205019,-4308.0024,7.01872324647985,0.0,-3.76084814413045,993.738348214518,28.817045,18,5
138556.795189417,3.7200687,-4309.5786,7.01872324647985,0.0,-3.76530102402,994.935336834039,28.666809,18,5
138557.795189521,3.7198324,-4307.6084,7.01872324647985,0.0,-3.76975362680299,996.13232698839,28.658901,18,5
138558.795189625,3.7193992,-4309.5786,7.01872324647985,0.0,-3.77420584375849,997.329352824979,28.650995,18,5
138559.795189729,3.7190053,-4310.7607,7.01872324647985,0.0,-3.77865824336625,998.526554547798,28.674715,18,5
138560.795189834,3.7186904,-4312.3369,7.01872324647985,0.0,-3.78311111866789,999.723985586209,28.817045,18,5
138561.795189938,3.7183359,-4310.1699,7.01872324647985,0.0,-3.78756358084308,1000.92141968967,28.714251,18,5
138562.795190042,3.7178633,-4310.564,7.01872324647985,0.0,-3.79201581938605,1002.11894583795,28.55611,18,5
138563.795190147,3.717627,-4311.3521,7.01872324647985,0.0,-3.79646858146031,1003.31668891873,28.666809,18,5
138564.795190251,3.7172332,-4312.3369,7.01872324647985,0.0,-3.80092127949233,1004.5145416805,28.737974,18,5
138565.795190355,3.7168,-4312.5342,7.01872324647985,0.0,-3.80537347200123,1005.71239804606,28.74588,18,5
138566.79519046,3.7165244,-4314.7012,7.01872324647985,0.0,-3.80982593965587,1006.91041727593,28.753786,18,5
138567.795190564,3.7162094,-4314.3071,7.01872324647985,0.0,-3.81427882518179,1008.10865048421,28.698437,18,5
138568.795190668,3.7157369,-4312.9282,7.01872324647985,0.0,-3.8187313523258,1009.30693962701,28.619366,18,5
138569.795190773,3.715461,-4313.125,7.01872324647985,0.0,-3.82318353184281,1010.50522417318,28.840765,18,5
138570.795190877,3.7151067,-4313.3218,7.01872324647985,0.0,-3.82763622283116,1011.70376066677,28.824951,18,5
138571.795190981,3.7147915,-4315.292,7.01872324647985,0.0,-3.83208915736112,1012.90246441271,28.730066,18,5
138572.795191085,3.7144372,-4315.686,7.01872324647985,0.0,-3.8365417546131,1014.10119169135,28.722157,18,5
138573.79519119,3.7140827,-4315.8833,7.01872324647985,0.0,-3.8409941362225,1015.29997533393,28.761692,18,5
